Ticker,discription
^TWII,Taipei
000001.SS,Shanghai
^HSI,HongKong
00639.TW,深100
00692.TW,富邦100
2885.TW,元大金
2330.TW,台積電
0050.TW,0050
2454.TW,聯發科
2049.TW,上銀
1723.TW,中碳
PEY.TO,PEY.TO
L.TO,SuperStore
X.TO,TSX
2417.TW,圓剛
6129.TWO,普誠
^DJI,DOW
^GSPC,SP500
^IXIC,NQ
^GSPTSE,Canada
^TYX,Treasury30
^GDAXI,Germany
^FCHI,France
^N225,Japan
^KS11,Koera
BTC-USD,Bitcoin
^VIX,VIX
AAPL,AAPL
AMZN,AMZN
GOOG,GOOG
TSLA,TSLA
MSFT,MSFT
NFLX,NFLX
QCOM,QCOM
GE,GE
GS,GS
JPM,JPM
BA,BA
2421.TW,建準
006206.TW,深中小
PKI.TO,PKI.TO
VCN.TO,VCN.TO
XUU.TO,XUU.TO
XAW.TO,XAW.TO
XQQ.TO,XQQ.TO
SPY,SPY
QQQ,QQQ
GC=F,GC
SI=F,SI
CL=F,CL
EURUSD=X,EURUSD
