Ticker,discription
ABX.TO,Barrick Gold Corp
AEM.TO,Agnico Eagle Mines Limited
AQN.TO,Algonquin Power and Utilities Corp
ATD-B.TO,Alimentation Couche-Tard Inc Cl B Sv
BAM-A.TO,Brookfield Asset Management Inc Cl.A Lv
BCE.TO,BCE Inc
BHC.TO,Bausch Health Companies Inc
BIP-UN.TO,Brookfield Infra Partners LP Units
BMO.TO,Bank of Montreal
BNS.TO,Bank of Nova Scotia
BPY-UN.TO,Brookfield Property Partners LP
CAR-UN.TO,CDN Apartment Un
CCL-B.TO,Ccl Industries Inc Cl B NV
CCO.TO,Cameco Corp
CM.TO,Canadian Imperial Bank of Commerce
CNQ.TO,CDN Natural Res
CNR.TO,Canadian National Railway Co.
CP.TO,Canadian Pacific Railway Limited
CSU.TO,Constellation Software Inc
CTC-A.TO,Canadian Tire Corporation Cl A NV
CVE.TO,Cenovus Energy Inc
DOL.TO,Dollarama Inc
EMA.TO,Emera Incorporated
ENB.TO,Enbridge Inc
FM.TO,First Quantum Minerals Ltd
FNV.TO,Franco-Nevada Corp
FTS.TO,Fortis Inc
GIB-A.TO,CGI Group Inc Cl.A Sv
GIL.TO,Gildan Activewear Inc
IMO.TO,Imperial Oil
IPL.TO,Inter Pipeline Ltd
K.TO,Kinross Gold Corp
KL.TO,Kirkland Lake Gold Ltd
L.TO,Loblaw CO
MFC.TO,Manulife Fin
MG.TO,Magna International Inc
MRU.TO,Metro Inc
NA.TO,National Bank of Canada
NTR.TO,Nutrien Ltd
OTEX.TO,Open Text Corp
POW.TO,Power Corporation of Canada Sv
PPL.TO,Pembina Pipeline Corp
QSR.TO,Restaurant Brands International Inc
RCI-B.TO,Rogers Communications Inc Cl.B NV
RY.TO,Royal Bank of Canada
SAP.TO,Saputo Inc
SHOP.TO,Shopify Inc
SJR-B.TO,Shaw Communications Inc Cl.B NV
SLF.TO,Sun Life Financial Inc
SNC.TO,Snc-Lavalin Sv
SU.TO,Suncor Energy Inc
T.TO,Telus Corp
TD.TO,Toronto-Dominion Bank
TECK-B.TO,Teck Resources Limited Cl B
TRI.TO,Thomson Reuters Corp
TRP.TO,Tc Energy Corp
WCN.TO,Waste Connections Inc
WEED.TO,Canopy Growth Corp
WN.TO,Weston George
WPM.TO,Wheaton Precious Metals Corp
