Ticker,discription
IMO.TO,Imperial Oil
INCY,Incyte Corporation
INTC,Intel Corporation
INTU,Intuit Inc.
IPL.TO,Inter Pipeline Ltd
ISRG,Intuitive Surgical Inc.
JD,JD.com Inc.
JNJ,Johnson & Johnson
JPM,JPMorgan Chase & Co.
JPY=X,USD/JPY
K.TO,Kinross Gold Corp
KDP,Keurig Dr Pepper Inc.
KHC,The Kraft Heinz Company
KL.TO,Kirkland Lake Gold Ltd
KLAC,KLA-Tencor Corporation
KO,Coca-Cola Co
KRW=X,USD/KRW
L.TO,SuperStore
LIN,Linde PLC
LLY,Eli Lilly and Company
LMT,Lockheed Martin Corporation
LOW,Lowe's Companies Inc.
LRCX,Lam Research Corporation
LULU,lululemon athletica inc.
MA,Mastercard Inc.
MAR,Marriott International Inc.
MCD,McDonald’s Corp
MCHP,Microchip Technology Inc.
MDLZ,Mondelez International Inc.
MDT,Medtronic PLC
MELI,Mercado Libre Inc.
MET,MetLife Inc.
MFC.TO,Manulife Fin
MG.TO,Magna International Inc
MMM,3M Co
MNST,Monster Beverage Corporation
MO,Altria Group Inc.
MRK,Merck & Co Inc
MRNA,Moderna Inc.
MRU.TO,Metro Inc
MRVL,Marvell Technology Group Ltd.
MS,Morgan Stanley
MSFT,MSFT
MTCH,Match Group Inc.
MU,Micron Technology Inc.
MXIM,Maxim Integrated Products Inc.
NA.TO,National Bank of Canada
NEE,NextEra Energy Inc.
NFLX,Netflix Inc.
NG=F,Nature Gas
NKE,Nike Inc
NTES,NetEase Inc.
NTR.TO,Nutrien Ltd
NVDA,NVIDIA Corporation
NXPI,NXP Semiconductors N.V.
NZDUSD=X,NZD/USD
OKTA,Okta Inc.
ORCL,Oracle Corporation
ORLY,O'Reilly Automotive Inc.
OTEX.TO,Open Text Corp
PAYX,Paychex Inc.
PCAR,PACCAR Inc
PDD,Pinduoduo Inc.
PEP,PepsiCo Inc.
PEY.TO,PEY.TO
PFE,Pfizer Inc.
PG,The Procter & Gamble Company
PKI.TO,PKI.TO
PM,Philip Morris International Inc.
POW.TO,Power Corporation of Canada Sv
PPL.TO,Pembina Pipeline Corp
PTON,Peloton Interactive Inc.
PYPL,PayPal Holdings Inc.
QCOM,Qualcomm Inc.
QQQ,QQQ
QSR.TO,Restaurant Brands International Inc
RCI-B.TO,Rogers Communications Inc Cl.B NV
REGN,Regeneron Pharmaceuticals Inc.
ROST,Ross Stores Inc.
RUB=X,USD/RUB
RY.TO,Royal Bank of Canada
SAP.TO,Saputo Inc
SBUX,Starbucks Corporation
SGEN,Seagen Inc.
SHOP.TO,Shopify Inc
SI=F,SI
SIRI,Sirius XM Holdings Inc.
SJR-B.TO,Shaw Communications Inc Cl.B NV
SLF.TO,Sun Life Financial Inc
SNC.TO,Snc-Lavalin Sv
SNPS,Synopsys Inc.
SO,Southern Company
SPG,Simon Property Group Inc.
SPLK,Splunk Inc.
SPY,SPY
SU.TO,Suncor Energy Inc
SWKS,Skyworks Solutions Inc.
T,AT&T Inc
T.TO,Telus Corp
TD.TO,Toronto-Dominion Bank
