Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,11501.85,11750.28,10701.64,10940.53,.00,3854530000
2000-02-01,10937.74,11118.93,9836.06,10128.31,.00,3661120000
2000-03-01,10128.11,11234.65,9731.81,10921.92,.00,4754630000
2000-04-01,10863.28,11425.45,10201.53,10733.91,.00,4049750000
2000-05-01,10749.42,10971.24,10258.81,10522.33,.00,3816980000
2000-06-01,10532.27,10863.00,10335.46,10447.89,.00,3823590000
2000-07-01,10450.36,10874.63,10393.09,10521.98,.00,3248880000
2000-08-01,10523.81,11319.06,10516.76,11215.10,.00,3620730000
2000-09-01,11219.54,11401.19,10567.32,10650.92,.00,4639930000
2000-10-01,10659.06,10995.41,9654.64,10971.14,.00,6254820000
2000-11-01,10966.21,11006.50,10292.39,10414.49,.00,4680310000
2000-12-01,10416.76,10917.68,10299.21,10787.99,.00,5202580000
2001-01-01,10790.92,11028.00,10468.04,10887.36,.00,5825960000
2001-02-01,10884.82,11035.14,10294.01,10495.28,.00,4164820000
2001-03-01,10493.25,10859.50,9106.54,9878.78,.00,6086470000
2001-04-01,9877.16,10906.41,9375.72,10734.97,.00,5241100000
2001-05-01,10734.05,11350.05,10673.22,10911.94,.00,4518100000
2001-06-01,10913.57,11196.53,10394.72,10502.40,.00,4914500000
2001-07-01,10504.95,10679.12,10120.89,10522.81,.00,4605880000
2001-08-01,10527.38,10609.65,9869.14,9949.75,.00,4083400000
2001-09-01,9946.98,10182.38,8062.34,8847.56,.00,5555020000
2001-10-01,8845.97,9598.17,8732.14,9075.14,.00,5722030000
2001-11-01,9087.45,9992.79,9014.46,9851.56,.00,4722560000
2001-12-01,9848.93,10184.45,9703.90,10021.57,.00,4302710000
2002-01-01,10021.71,10300.15,9529.46,9920.00,.00,4955760000
2002-02-01,9923.04,10255.24,9580.32,10106.13,.00,4651890000
2002-03-01,10111.04,10673.10,10111.04,10403.94,.00,4589750000
2002-04-01,10402.07,10402.07,9811.57,9946.22,.00,5111860000
2002-05-01,9944.90,10353.43,9802.23,9925.25,.00,4800810000
2002-06-01,9923.94,9986.49,8926.57,9243.26,.00,5783720000
2002-07-01,9239.25,9410.38,7532.66,8736.59,.00,7714600000
2002-08-01,8732.58,9077.01,8030.82,8663.50,.00,5591350000
2002-09-01,8659.27,8726.90,7460.78,7591.93,.00,5601800000
2002-10-01,7593.04,8558.63,7197.49,8397.03,.00,7498850000
2002-11-01,8395.64,8950.33,8298.68,8896.09,.00,5410370000
2002-12-01,8902.95,9043.37,8242.91,8341.63,.00,4607200000
2003-01-01,8342.38,8869.29,7917.16,8053.81,.00,5426600000
2003-02-01,8053.74,8152.53,7628.99,7891.08,.00,4418320000
2003-03-01,7890.24,8522.18,7416.64,7992.13,.00,5616290000
2003-04-01,7992.83,8559.77,7979.69,8480.09,.00,5128590000
2003-05-01,8478.48,8868.33,8340.23,8850.26,.00,4686280000
2003-06-01,8851.45,9352.77,8851.45,8985.44,.00,4987850000
2003-07-01,8983.66,9361.40,8871.20,9233.80,.00,4911390000
2003-08-01,9232.68,9499.97,8997.11,9415.82,.00,3853760000
2003-09-01,9416.67,9686.08,9230.47,9275.06,.00,4385460000
2003-10-01,9276.80,9850.01,9276.80,9801.12,.00,4840970000
2003-11-01,9802.46,9903.57,9585.50,9782.46,.00,3548520000
2003-12-01,9785.35,10462.44,9785.35,10453.92,.00,4246080000
2004-01-01,10452.74,10705.18,10367.41,10488.07,.00,4380510000
2004-02-01,10487.78,10753.63,10434.67,10583.92,.00,3894640000
2004-03-01,10582.25,10695.55,10007.49,10357.70,.00,5009640000
2004-04-01,10357.52,10570.81,10219.18,10225.57,.00,4530000000
2004-05-01,10227.27,10386.32,9852.19,10188.45,.00,4016800000
2004-06-01,10187.18,10498.67,10134.86,10435.48,.00,4111110000
2004-07-01,10434.00,10448.09,9913.92,10139.71,.00,4452180000
2004-08-01,10138.45,10211.25,9783.91,10173.92,.00,3756550000
2004-09-01,10170.12,10363.36,9977.92,10080.27,.00,4638370000
2004-10-01,10082.04,10270.37,9708.40,10027.47,.00,5292920000
2004-11-01,10028.73,10602.85,10010.15,10428.02,.00,5666600000
2004-12-01,10425.80,10868.07,10418.63,10783.01,.00,5744730000
2005-01-01,10783.75,10867.39,10368.61,10489.94,.00,5424930000
2005-02-01,10489.72,10853.43,10489.64,10766.23,.00,5038600000
2005-03-01,10769.04,10984.46,10396.24,10503.76,.00,5820160000
2005-04-01,10504.57,10568.93,10000.46,10192.51,.00,5852240000
2005-05-01,10192.00,10560.81,10075.55,10467.48,.00,4843000000
2005-06-01,10462.86,10656.29,10253.49,10274.97,.00,5026730000
2005-07-01,10273.59,10717.73,10175.40,10640.91,.00,4821200000
2005-08-01,10641.78,10719.41,10349.37,10481.60,.00,5082400000
2005-09-01,10481.44,10701.81,10350.96,10568.70,.00,5229310000
2005-10-01,10569.50,10608.56,10156.46,10440.07,.00,5829060000
2005-11-01,10440.07,10959.79,10388.76,10805.87,.00,5385780000
2005-12-01,10806.03,10940.34,10709.42,10717.50,.00,5223910000
2006-01-01,10718.30,11047.76,10661.15,10864.86,.00,6552210000
2006-02-01,10862.14,11159.18,10737.67,10993.41,.00,5759090000
2006-03-01,10993.25,11334.96,10922.73,11109.32,.00,6680180000
2006-04-01,11113.00,11417.66,11039.12,11367.14,.00,5584020000
2006-05-01,11367.78,11670.19,11030.47,11168.31,.00,7360590000
2006-06-01,11169.03,11285.82,10698.85,11150.22,.00,6959660000
2006-07-01,11149.34,11257.08,10683.32,11185.68,.00,5548680000
2006-08-01,11184.80,11407.08,11042.64,11381.15,.00,4668650000
2006-09-01,11382.75,11741.99,11323.84,11679.07,.00,4494890000
2006-10-01,11678.99,12167.02,11653.06,12080.73,.00,5665820000
2006-11-01,12080.25,12361.00,11965.31,12221.93,.00,4722850000
2006-12-01,12220.97,12529.88,12089.98,12463.15,.00,4381310000
2007-01-01,12459.54,12657.02,12337.37,12621.69,.00,5075440000
2007-02-01,12617.20,12795.93,12086.06,12268.63,.00,4347420000
2007-03-01,12268.63,12511.05,11939.61,12354.35,.00,5633180000
2007-04-01,12354.52,13162.06,12324.28,13062.91,.00,4819810000
2007-05-01,13062.75,13673.07,13041.30,13627.64,.00,5039850000
2007-06-01,13628.69,13692.00,13251.53,13408.62,.00,5227620000
2007-07-01,13409.60,14021.95,13199.79,13211.99,.00,5512040000
2007-08-01,13211.09,13695.82,12517.94,13357.74,.00,6199120000
2007-09-01,13358.39,13924.81,13021.93,13895.63,.00,4328370000
2007-10-01,13895.71,14198.10,13407.49,13930.01,.00,5010920000
