Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11501.85,11528.14,10938.67,11522.56,.00,912810000
2000-01-10,11532.48,11750.28,11502.70,11722.98,.00,981280000
2000-01-18,11719.19,11720.12,11232.48,11251.71,.00,790380000
2000-01-24,11251.94,11366.50,10735.77,10738.87,.00,978180000
2000-01-31,10735.77,11118.93,10701.64,10963.80,.00,884380000
2000-02-07,10965.97,11023.06,10356.96,10425.21,.00,833030000
2000-02-14,10431.65,10763.07,10199.98,10219.52,.00,918600000
2000-02-22,10219.83,10338.35,9836.06,9862.12,.00,812400000
2000-02-28,9854.66,10443.52,9842.57,10367.20,.00,1038340000
2000-03-06,10358.96,10383.95,9731.81,9928.82,.00,1058880000
2000-03-13,9911.22,10763.38,9735.54,10595.23,.00,1078830000
2000-03-20,10594.75,11234.65,10586.99,11112.72,.00,1027360000
2000-03-27,11093.25,11170.82,10910.75,10921.92,.00,955810000
2000-04-03,10863.28,11418.24,10717.78,11111.48,.00,1106860000
2000-04-10,11114.89,11425.45,10201.53,10305.77,.00,1023800000
2000-04-17,10303.29,10845.29,10232.55,10844.05,.00,818150000
2000-04-24,10822.33,11141.88,10695.44,10733.91,.00,1100940000
2000-05-01,10749.42,10926.26,10375.81,10577.86,.00,890320000
2000-05-08,10571.31,10684.85,10292.10,10609.37,.00,859960000
2000-05-15,10606.97,10971.24,10570.65,10626.85,.00,856790000
2000-05-22,10624.79,10664.54,10258.81,10299.24,.00,881580000
2000-05-30,10302.31,10846.08,10302.31,10794.76,.00,713220000
2000-06-05,10793.11,10863.00,10588.29,10614.06,.00,787950000
2000-06-12,10615.12,10763.70,10449.30,10449.30,.00,867580000
2000-06-19,10448.40,10597.44,10335.46,10404.75,.00,884540000
2000-06-26,10403.69,10620.42,10336.16,10447.89,.00,898630000
2000-07-03,10450.36,10658.25,10393.09,10635.98,.00,535120000
2000-07-10,10627.14,10834.32,10604.86,10812.75,.00,787030000
2000-07-17,10812.40,10874.63,10685.48,10733.56,.00,896630000
2000-07-24,10731.44,10778.11,10464.50,10511.17,.00,854280000
2000-07-31,10514.29,10769.95,10497.80,10767.75,.00,802970000
2000-08-07,10773.98,11067.73,10736.98,11027.80,.00,835650000
2000-08-14,11027.07,11177.61,10961.14,11046.48,.00,800460000
2000-08-21,11058.85,11210.94,11027.07,11192.63,.00,711650000
2000-08-28,11194.48,11319.06,11096.35,11238.78,.00,770960000
2000-09-05,11221.76,11401.19,11184.77,11220.65,.00,803100000
2000-09-11,11219.54,11286.13,10916.92,10927.00,.00,1058440000
2000-09-18,10926.42,10935.58,10567.32,10847.37,.00,1330350000
2000-09-25,10847.37,10897.31,10579.52,10650.92,.00,1322900000
2000-10-02,10659.06,10857.73,10518.85,10596.54,.00,1194330000
2000-10-09,10596.91,10641.31,10014.24,10192.18,.00,1371900000
2000-10-16,10184.78,10293.92,9654.64,10226.59,.00,1559230000
2000-10-23,10230.29,10590.62,10216.23,10590.62,.00,1581520000
2000-10-30,10588.06,10995.41,10578.49,10817.95,.00,1243280000
2000-11-06,10820.60,11006.50,10602.57,10602.95,.00,1149510000
2000-11-13,10595.35,10799.37,10369.74,10629.87,.00,1111910000
2000-11-20,10624.18,10624.28,10371.64,10470.23,.00,687200000
2000-11-27,10479.33,10646.17,10292.39,10373.54,.00,1337980000
2000-12-04,10377.33,10917.30,10319.31,10712.91,.00,1390070000
2000-12-11,10719.36,10915.40,10434.59,10434.96,.00,1406870000
2000-12-18,10433.34,10784.58,10299.21,10635.56,.00,1360150000
2000-12-26,10638.21,10917.68,10597.64,10787.99,.00,743760000
2001-01-02,10790.92,11028.00,10581.09,10662.01,.00,1329470000
2001-01-08,10658.73,10700.85,10468.04,10525.38,.00,1270380000
2001-01-16,10525.78,10737.24,10486.64,10587.59,.00,1208550000
2001-01-22,10581.90,10778.72,10509.92,10659.98,.00,1269120000
2001-01-29,10657.13,11022.78,10612.53,10864.10,.00,1177060000
2001-02-05,10860.44,11035.14,10754.96,10781.45,.00,1041610000
2001-02-12,10779.42,11012.90,10722.15,10799.82,.00,985720000
2001-02-20,10800.23,10903.17,10294.01,10441.90,.00,972810000
2001-02-26,10447.59,10698.43,10302.06,10466.31,.00,1250210000
2001-03-05,10468.93,10859.50,10468.53,10644.62,.00,1125150000
2001-03-12,10638.52,10638.63,9814.35,9823.41,.00,1480880000
2001-03-19,9820.05,10019.94,9106.54,9504.78,.00,1615010000
2001-03-26,9509.25,9960.88,9509.25,9878.78,.00,1351280000
2001-04-02,9877.16,9992.53,9375.72,9791.09,.00,1363810000
2001-04-09,9793.58,10173.79,9775.79,10126.94,.00,1006150000
2001-04-16,10118.16,10706.47,10046.52,10579.85,.00,1549270000
2001-04-23,10571.00,10810.05,10444.06,10810.05,.00,1115450000
2001-04-30,10814.41,10958.14,10673.22,10951.24,.00,1050100000
2001-05-07,10952.35,10995.28,10774.13,10821.31,.00,960410000
2001-05-14,10819.55,11328.61,10800.13,11301.74,.00,1074580000
2001-05-21,11299.14,11350.05,10993.79,11005.37,.00,1021110000
2001-05-29,11004.66,11066.01,10835.49,10990.41,.00,814580000
2001-06-04,10991.77,11196.53,10938.08,10977.00,.00,1002750000
2001-06-11,10974.79,11004.33,10566.55,10623.64,.00,1281920000
2001-06-18,10622.50,10759.64,10563.66,10604.59,.00,1157570000
2001-06-25,10607.88,10646.45,10394.72,10502.40,.00,1276000000
2001-07-02,10504.95,10638.87,10220.14,10252.68,.00,731060000
2001-07-09,10253.62,10549.76,10120.89,10539.06,.00,1227210000
2001-07-16,10537.98,10679.12,10438.66,10576.65,.00,1232700000
2001-07-23,10576.92,10595.40,10203.69,10416.67,.00,1034590000
2001-07-30,10418.68,10609.65,10361.45,10512.78,.00,952280000
2001-08-06,10504.13,10504.13,10197.32,10416.25,.00,841720000
2001-08-13,10411.90,10478.81,10180.93,10240.78,.00,873230000
2001-08-20,10239.33,10440.68,10134.50,10423.17,.00,908990000
2001-08-27,10422.76,10441.37,9869.14,9949.75,.00,887500000
2001-09-04,9946.98,10182.38,9558.39,9605.85,.00,1168170000
2001-09-10,9603.36,9671.80,9493.55,9605.51,.00,280040000
2001-09-17,9580.32,9580.32,8062.34,8235.81,.00,2459290000
2001-09-24,8242.32,8856.55,8242.32,8847.56,.00,1647520000
2001-10-01,8845.97,9187.37,8732.14,9119.77,.00,1399070000
2001-10-08,9115.75,9432.04,9000.14,9344.16,.00,1247620000
2001-10-15,9340.84,9489.33,9080.81,9204.11,.00,1214060000
2001-10-22,9203.91,9598.17,9167.45,9545.17,.00,1166740000
2001-10-29,9543.37,9543.37,9014.46,9323.54,.00,1174000000
2001-11-05,9326.59,9721.75,9326.17,9608.00,.00,1135110000
2001-11-12,9606.13,9908.79,9408.58,9866.99,.00,1300000000
2001-11-19,9870.45,9976.73,9796.41,9959.71,.00,659330000
2001-11-26,9961.58,9992.79,9691.39,9851.56,.00,1148660000
2001-12-03,9848.93,10169.44,9703.90,10049.46,.00,1183740000
2001-12-10,10047.04,10075.61,9736.42,9811.15,.00,1194950000
2001-12-17,9809.42,10088.34,9798.84,10035.34,.00,1318320000
2001-12-24,10036.59,10184.45,10034.44,10136.99,.00,458800000
2001-12-31,10136.36,10283.67,9935.70,10259.74,.00,865390000
2002-01-07,10261.33,10300.15,9985.25,9987.53,.00,1064550000
2002-01-14,9985.38,9986.21,9711.10,9771.85,.00,1229060000
2002-01-22,9772.34,9897.85,9680.51,9840.08,.00,914510000
2002-01-28,9843.05,9943.94,9529.46,9907.26,.00,1257540000
2002-02-04,9905.46,9905.46,9580.32,9744.24,.00,1260770000
2002-02-11,9739.81,10052.29,9710.68,9903.04,.00,1046240000
2002-02-19,9899.24,10029.94,9734.21,9968.15,.00,1066640000
2002-02-25,9969.75,10374.88,9966.36,10368.86,.00,1310930000
2002-03-04,10368.10,10663.83,10366.78,10572.49,.00,1363720000
2002-03-11,10570.07,10647.09,10474.17,10607.23,.00,1175260000
2002-03-18,10608.54,10673.10,10354.74,10427.67,.00,997500000
2002-03-25,10428.43,10502.61,10276.76,10403.94,.00,792190000
2002-04-01,10402.07,10402.07,10139.48,10271.64,.00,977950000
2002-04-08,10258.91,10394.67,10120.87,10190.82,.00,1267650000
2002-04-15,10189.57,10326.44,10057.00,10257.11,.00,1255870000
2002-04-22,10256.00,10256.00,9910.72,9910.72,.00,1127210000
2002-04-29,9910.52,10117.54,9811.57,10006.63,.00,1195280000
2002-05-06,10005.80,10148.94,9807.69,9939.92,.00,1193590000
2002-05-13,9938.82,10353.43,9920.20,10353.08,.00,1136540000
2002-05-20,10348.93,10348.93,10063.50,10104.26,.00,921700000
2002-05-28,10106.54,10118.51,9802.23,9925.25,.00,836880000
2002-06-03,9923.94,9986.49,9472.54,9589.67,.00,1345940000
2002-06-10,9587.38,9758.80,9260.99,9474.21,.00,1325650000
2002-06-17,9476.50,9733.39,9220.63,9253.79,.00,1401730000
2002-06-24,9252.47,9413.08,8926.57,9243.26,.00,1710400000
